X,Y,osm_id,osm_type,completeness,is_in_health_zone,amenity,speciality,addr_street,operator,water_source,changeset_id,insurance,staff_doctors,contact_number,uuid,electricity,opening_hours,operational_status,source,is_in_health_area,hidden,changeset_version,emergency,changeset_timestamp,addr_housenumber,addr_postcode,health_amenity_type,addr_city,name,staff_nurses,changeset_user,wheelchair,beds,url,dispensing,healthcare,operator_type
37.9360719445514,-13.7903033550353,6481620719,node,12,,clinic,,,,,70373784,,,,3d1c42b21e4b442f8491a0fece3173cf,,,,MSFsurvey,,0,1,,2019/05/17 20:48:23,,,,,Centro de Saude manlia,,Jan Málek,,,,,,
37.6889432641447,-12.8835964274775,6476900489,node,12,,clinic,,,,,70298864,,,,5658b35956ea43d79eade71360e60f9f,,,,MSFsurvey,,0,1,,2019/05/16 02:44:13,,,,,Centro de Saude de Marrangira,,Libor Bednarik,,,,,,
32.8521237930763,-25.1791994560793,6476098383,node,12,,clinic,,,,,70286767,,,,04bf08acbb2144d5a766752ffbb1680c,,,,MSFsurvey,,0,1,,2019/05/15 17:33:14,,,,,Centro de Saude de Taninga,,Jan Málek,,,,,,
34.8740247491404,-19.8508191662675,567924679,node,12,,hospital,,,,,75886255,,,,84bd66ab21ac480488055d32c8e55d4b,,,,,,0,2,,2019/10/18 10:42:27,,,,,Beira Central Hospital,,duartegouveia,,,,,hospital,
39.7356417454715,-11.7612458462227,6432768397,node,12,,clinic,,,,,69795217,,,,eb704d4730e84ca297e29834ab690064,,,,MSFsurvey,,0,2,,2019/05/02 09:06:09,,,,,Centro de Saude de Miteda,,Jorieke V,,,,,,
40.0575899758139,-10.8907332338536,6432778461,node,12,,clinic,,,,,69795217,,,,07dc014057e74a7db52ca152631b285d,,,,MSFsurvey,,0,2,,2019/05/02 09:06:11,,,,,Centro de Saude de Pundanhar,,Jorieke V,,,,,,
38.8910561198177,-15.3454728688508,6476224141,node,12,,clinic,,,,,70288559,,,,c9ead7f9bee44f1da3ed2ef096e58b81,,,,MSFsurvey,,0,1,,2019/05/15 18:07:27,,,,,Centro de Saude de Gazuzu,,AtomicBohm,,,,,,
32.5800169573936,-25.9692673394738,2597327227,node,9,,pharmacy,,,,,42920911,,,,5ea44847462f404883598d9562dc560f,,24/7,,,,0,2,,2016/10/15 15:56:59,,,,,,,aquila2,,,,,,
35.2292742807912,-23.8817275320199,6476125525,node,12,,clinic,,,,,70287111,,,,d697a0282e054321b87ac66a660c83f5,,,,MSFsurvey,,0,1,,2019/05/15 17:39:34,,,,,Centro de Saude de Inhamussue,,marxin,,,,,,
34.3239752615094,-19.3351864436192,6476602011,node,15,,clinic,,,,,72875973,,,,3edd747b5e0e464da402a192e7aa4cd6,,,,MSFsurvey,,0,2,,2019/07/31 23:59:54,,,,,Centro de Saude de Lamego,,Greg_Rose,,,,,clinic,
33.5090216752307,-19.5453721372457,6476200037,node,12,,clinic,,,,,70288130,,,,72cbcc1c5738442b892d6a74480b1d1f,,,,MSFsurvey,,0,1,,2019/05/15 17:57:38,,,,,Centro de Saude de Mavuzi,,marxin,,,,,,
38.805534723548,-13.9652029126819,6432760048,node,12,,clinic,,,,,69834971,,,,2496a34585534b199585a822d9ddb7bd,,,,MSFsurvey,,0,2,,2019/05/03 09:45:02,,,,,Centro de Saude de Machoca,,mueschel,,,,,,
34.6398008468597,-23.1257925185476,7004361836,node,12,,doctors,,,,,77462661,,,,578654b1f2ba43bcbc5ce117e8d95a9b,,,,,,0,1,,2019/11/23 16:15:28,,,,,Centro de Salud Manhiça,,White_Rabbit,,,,,yes,
37.498629218924,-13.1966663783405,4803981520,node,9,,hospital,,,,,47942642,,,,a804cd60c7d04e019e63eb3ca66d6fde,,,,,,0,1,,2017/04/19 15:12:40,,,,,Centro de Saude,,JLehman,,,,,,
40.6803371345923,-14.5101051573931,6482074040,node,15,,doctors,,,,,91347558,,,,f621ca7b80264a12a6df340396a8f642,,,,MSFsurvey,,0,2,,2020/09/23 08:04:23,,,,,Posto de Saude de Muzuane,,Greg_Rose,,,,,doctor,
,,-7421039,way,6,,doctors,,,,,,,,,526c072df1794751b92e4fef9a1736a4,,,,,,0,,,,,,,,Centro de Saude de Chai,,,,,,,,
36.8107182950276,-18.0100914547374,6482074026,node,12,,clinic,,,,,70380465,,,,9f44cf61c1604359b8a195d1058cede1,,,,MSFsurvey,,0,1,,2019/05/18 07:27:32,,,,,Centro de Saude Ilova,,Jan Málek,,,,,,
35.152977168964,-23.8810828798468,6476125519,node,12,,clinic,,,,,70287111,,,,179010f46ae94504aaa159ad150ef522,,,,MSFsurvey,,0,1,,2019/05/15 17:39:34,,,,,Centro de Saude Sede - HOMOINE,,marxin,,,,,,
40.1979647257459,-15.1597205067942,6476892211,node,12,,clinic,,,,,70298701,,,,95a75f929705460fb87124503450af9f,,,,MSFsurvey,,0,1,,2019/05/16 02:34:34,,,,,Centro de Saude de Perequexo,,Libor Bednarik,,,,,,
,,988332786,way,21,,pharmacy,,Estrada Nacional nº1,,,111918935,,,,3b9da550bfba417095c1edfd3fa89d51,,Mo-Fr 09:00-17:00,,,,0,1,,2021/09/30 13:50:33,,,,Vila de Inharrime,Farmacia Muguanaza,,danilo cuamba,,,,,pharmacy,
,,497867321,way,9,,pharmacy,,,,,49917692,,,,8df4046914e9446296779a3919745898,,,,,,0,2,,2017/06/29 12:26:00,,,,,Farmacia,,Iahaia Amisse,,,,,,
,,801604581,way,15,,hospital,,,,,86343503,,,,1b3e03fcd34f46bcbc762a37c1ac0f3e,,,,,,0,2,yes,2020/06/08 09:05:40,,,,,Clinica Santa Vitoria,,Jcasas1,,,,,hospital,
,,421237588,way,9,,pharmacy,,,,,44185207,,,,3331bfbc089548afb29fe95ab4713cbc,,,,,,0,4,,2016/12/05 14:56:44,,,,,Farmacity,,Nicolau Mutambe,,,,,,
32.599861448433,-25.9375081407113,4815654422,node,21,,pharmacy,,Avenida Vladimir Lenine,vitalis Che Musong,,48125460,,,,c37f43301dd34660ac194718a0441b25,,Mo-Su 08:00-20:45,,,,0,1,,2017/04/25 13:40:32,4649,,,,Farmacia Compone,,Vitalis Che Musong,,,,,,
35.3493730393084,-16.6937845560569,6478328233,node,12,,clinic,,,,,109922681,,,,cc69767041494baf9006611f39d05582,,,,MSFsurvey,,0,2,,2021/08/19 10:01:17,,,,,Centro de Saude de Chire,,Maskulinum,,,,,,
32.5190715526858,-25.9155492307773,7252416786,node,15,,pharmacy,,"Infulene ""A"" Rua Impasse nr.4 Q-31",,,81616482,,,,fc69e87d9e30464383263175af3862b1,,,,,,0,1,,2020/02/29 10:07:56,4 Q-31,,,,Elctromed.Lda,,Diter214,,,,,,
32.5700757687727,-25.958972434539,5477470221,node,15,,clinic,,Avenida da Maguiguana,,,57171092,,,,93451c1c369b4f79bb0c8a91676767f5,,24/7,,,,0,1,,2018/03/14 09:23:33,,,,,Clínica Shifaa,,Aina Nangy,,,,,,
